protocol,n_qubits,seed,key_length,efficiency,time_ms
BB84,8,0,3,37.5,1006.606
BB84,8,1,4,50.0,969.694
BB84,8,2,4,50.0,961.102
BB84,8,3,3,37.5,972.675
BB84,8,4,4,50.0,1063.103
BB84,8,5,4,50.0,972.045
BB84,8,6,2,25.0,963.61
BB84,8,7,2,25.0,977.169
BB84,8,8,7,87.5,1228.343
BB84,8,9,4,50.0,1032.474
BB84,8,10,2,25.0,976.523
BB84,8,11,5,62.5,1005.54
BB84,8,12,4,50.0,976.533
BB84,8,13,5,62.5,989.161
BB84,8,14,1,12.5,1056.49
BB84,8,15,5,62.5,974.906
BB84,8,16,4,50.0,981.527
BB84,8,17,6,75.0,950.467
BB84,8,18,8,100.0,982.735
BB84,8,19,3,37.5,1013.866
BB84,8,20,4,50.0,962.946
BB84,8,21,5,62.5,967.503
BB84,8,22,3,37.5,968.718
BB84,8,23,4,50.0,959.395
BB84,8,24,7,87.5,1013.615
BB84,8,25,3,37.5,1049.802
BB84,8,26,4,50.0,969.628
BB84,8,27,3,37.5,1094.734
BB84,8,28,6,75.0,981.2
BB84,8,29,5,62.5,970.981
BB84,8,30,4,50.0,1001.983
BB84,8,31,3,37.5,1029.547
BB84,8,32,4,50.0,954.113
BB84,8,33,5,62.5,978.399
BB84,8,34,4,50.0,959.879
BB84,8,35,4,50.0,1041.567
BB84,8,36,0,0.0,978.07
BB84,8,37,4,50.0,1009.274
BB84,8,38,4,50.0,1007.669
BB84,8,39,3,37.5,985.751
BB84,8,40,3,37.5,1036.742
BB84,8,41,4,50.0,977.499
BB84,8,42,4,50.0,971.598
BB84,8,43,3,37.5,978.281
BB84,8,44,3,37.5,1029.9
BB84,8,45,2,25.0,978.833
BB84,8,46,5,62.5,1034.394
BB84,8,47,6,75.0,970.594
BB84,8,48,6,75.0,974.465
BB84,8,49,2,25.0,983.362
BB84,16,0,11,68.75,2021.621
BB84,16,1,6,37.5,1936.378
BB84,16,2,10,62.5,1956.105
BB84,16,3,5,31.25,2038.754
BB84,16,4,10,62.5,1930.924
BB84,16,5,10,62.5,1974.303
BB84,16,6,8,50.0,1979.273
BB84,16,7,7,43.75,1969.434
BB84,16,8,9,56.25,2168.83
BB84,16,9,7,43.75,2034.033
BB84,16,10,9,56.25,1983.875
BB84,16,11,7,43.75,2015.183
BB84,16,12,9,56.25,1952.605
BB84,16,13,8,50.0,2070.937
BB84,16,14,8,50.0,1935.233
BB84,16,15,6,37.5,1899.454
BB84,16,16,4,25.0,2015.944
BB84,16,17,11,68.75,1978.199
BB84,16,18,5,31.25,1938.398
BB84,16,19,8,50.0,2141.444
BB84,16,20,11,68.75,2029.007
BB84,16,21,13,81.25,2086.442
BB84,16,22,8,50.0,1990.78
BB84,16,23,8,50.0,1992.213
BB84,16,24,9,56.25,2166.363
BB84,16,25,8,50.0,1931.011
BB84,16,26,11,68.75,2054.899
BB84,16,27,11,68.75,1964.062
BB84,16,28,11,68.75,1969.577
BB84,16,29,8,50.0,2018.766
BB84,16,30,9,56.25,1963.076
BB84,16,31,7,43.75,1921.834
BB84,16,32,11,68.75,2015.947
BB84,16,33,6,37.5,1963.057
BB84,16,34,7,43.75,1983.992
BB84,16,35,7,43.75,1964.278
BB84,16,36,7,43.75,2018.245
BB84,16,37,6,37.5,2113.541
BB84,16,38,8,50.0,1976.112
BB84,16,39,6,37.5,1954.461
BB84,16,40,6,37.5,2077.573
BB84,16,41,11,68.75,1935.079
BB84,16,42,11,68.75,2019.537
BB84,16,43,9,56.25,2138.78
BB84,16,44,11,68.75,1932.788
BB84,16,45,11,68.75,1978.038
BB84,16,46,5,31.25,1953.524
BB84,16,47,9,56.25,2006.967
BB84,16,48,9,56.25,1955.292
BB84,16,49,7,43.75,1969.776
BB84,32,0,22,68.75,3968.857
BB84,32,1,18,56.25,4033.48
BB84,32,2,20,62.5,3918.875
BB84,32,3,17,53.125,3930.427
BB84,32,4,15,46.875,3972.724
BB84,32,5,11,34.375,3980.17
BB84,32,6,16,50.0,4120.102
BB84,32,7,20,62.5,3970.448
BB84,32,8,17,53.125,3988.949
BB84,32,9,12,37.5,4015.834
BB84,32,10,13,40.625,4045.748
BB84,32,11,14,43.75,4117.793
BB84,32,12,14,43.75,3930.755
BB84,32,13,18,56.25,3933.029
BB84,32,14,18,56.25,3962.266
BB84,32,15,20,62.5,3879.16
BB84,32,16,18,56.25,4029.543
BB84,32,17,19,59.375,4033.075
BB84,32,18,21,65.625,3957.716
BB84,32,19,13,40.625,3934.541
BB84,32,20,15,46.875,4131.876
BB84,32,21,18,56.25,4335.648
BB84,32,22,18,56.25,4467.489
BB84,32,23,11,34.375,3958.43
BB84,32,24,14,43.75,4061.571
BB84,32,25,15,46.875,4025.117
BB84,32,26,21,65.625,3998.58
BB84,32,27,18,56.25,4084.848
BB84,32,28,17,53.125,3939.44
BB84,32,29,19,59.375,4065.294
BB84,32,30,15,46.875,4065.051
BB84,32,31,19,59.375,3958.215
BB84,32,32,14,43.75,3990.151
BB84,32,33,16,50.0,3900.102
BB84,32,34,18,56.25,4114.474
BB84,32,35,17,53.125,3956.639
BB84,32,36,15,46.875,3964.972
BB84,32,37,17,53.125,4003.429
BB84,32,38,21,65.625,3965.459
BB84,32,39,16,50.0,4025.835
BB84,32,40,14,43.75,4009.076
BB84,32,41,17,53.125,3899.799
BB84,32,42,13,40.625,4018.626
BB84,32,43,15,46.875,3936.467
BB84,32,44,13,40.625,4158.0
BB84,32,45,13,40.625,4000.181
BB84,32,46,17,53.125,3934.774
BB84,32,47,22,68.75,4089.99
BB84,32,48,9,28.125,4027.305
BB84,32,49,13,40.625,3955.895
BB84,64,0,33,51.5625,7811.987
BB84,64,1,32,50.0,8036.952
BB84,64,2,36,56.25,8106.982
BB84,64,3,30,46.875,7917.605
BB84,64,4,28,43.75,8001.463
BB84,64,5,30,46.875,8005.198
BB84,64,6,37,57.8125,7964.293
BB84,64,7,32,50.0,8050.754
BB84,64,8,22,34.375,8050.907
BB84,64,9,30,46.875,8360.908
BB84,64,10,42,65.625,8035.108
BB84,64,11,34,53.125,8015.393
BB84,64,12,27,42.1875,8551.802
BB84,64,13,30,46.875,8051.816
BB84,64,14,33,51.5625,7926.102
BB84,64,15,33,51.5625,7821.727
BB84,64,16,23,35.9375,8025.259
BB84,64,17,29,45.3125,7918.22
BB84,64,18,30,46.875,8628.718
BB84,64,19,33,51.5625,7915.497
BB84,64,20,33,51.5625,8097.245
BB84,64,21,25,39.0625,8026.011
BB84,64,22,43,67.1875,8116.284
BB84,64,23,34,53.125,7899.901
BB84,64,24,33,51.5625,7935.425
BB84,64,25,33,51.5625,7968.349
BB84,64,26,32,50.0,7950.738
BB84,64,27,28,43.75,8200.593
BB84,64,28,37,57.8125,7991.282
BB84,64,29,32,50.0,7988.8
BB84,64,30,31,48.4375,7922.0
BB84,64,31,35,54.6875,8154.198
BB84,64,32,36,56.25,8200.597
BB84,64,33,34,53.125,7956.067
BB84,64,34,36,56.25,8050.129
BB84,64,35,31,48.4375,7975.861
BB84,64,36,30,46.875,8097.031
BB84,64,37,26,40.625,7891.473
BB84,64,38,40,62.5,8039.266
BB84,64,39,34,53.125,7956.003
BB84,64,40,31,48.4375,7921.438
BB84,64,41,29,45.3125,8156.596
BB84,64,42,28,43.75,8601.909
BB84,64,43,31,48.4375,8045.73
BB84,64,44,33,51.5625,7961.476
BB84,64,45,37,57.8125,8063.744
BB84,64,46,25,39.0625,8242.361
BB84,64,47,38,59.375,8076.0
BB84,64,48,33,51.5625,7983.047
BB84,64,49,38,59.375,7948.02
BB84,128,0,61,47.65625,15925.681
BB84,128,1,60,46.875,15959.539
BB84,128,2,62,48.4375,15856.223
