protocol,key_bits,seed,keygen_ms,enc_ms,dec_ms
RSA,1024,0,26.673,6.762,0.542
RSA,1024,1,9.419,0.094,0.321
RSA,1024,2,9.11,0.089,0.317
RSA,1024,3,9.192,0.067,0.324
RSA,1024,4,10.076,0.061,0.31
RSA,1024,5,15.563,0.099,0.596
RSA,1024,6,10.595,0.086,0.324
RSA,1024,7,7.364,0.072,0.404
RSA,1024,8,5.728,0.058,0.307
RSA,1024,9,8.371,0.064,0.304
RSA,1024,10,10.167,0.075,0.32
RSA,1024,11,7.553,0.07,0.309
RSA,1024,12,8.877,0.08,0.425
RSA,1024,13,13.254,0.078,0.296
RSA,1024,14,6.199,0.079,0.313
RSA,1024,15,8.887,0.067,0.327
RSA,1024,16,7.185,0.071,0.314
RSA,1024,17,9.848,0.084,0.33
RSA,1024,18,8.332,0.076,0.338
RSA,1024,19,7.214,0.068,0.334
RSA,2048,0,59.41,0.098,1.087
RSA,2048,1,128.932,0.097,1.132
RSA,2048,2,36.191,0.094,1.109
RSA,2048,3,30.373,0.093,1.064
RSA,2048,4,35.687,0.096,1.178
RSA,2048,5,63.939,0.101,1.071
RSA,2048,6,35.644,0.109,1.101
RSA,2048,7,53.231,0.103,1.092
RSA,2048,8,14.759,0.094,1.064
RSA,2048,9,16.2,0.093,1.142
RSA,2048,10,42.271,0.089,1.075
RSA,2048,11,33.222,0.106,1.159
RSA,2048,12,18.885,0.114,1.216
RSA,2048,13,44.783,0.096,1.085
RSA,2048,14,33.992,0.102,1.072
RSA,2048,15,14.646,0.093,1.08
RSA,2048,16,74.326,0.094,1.06
RSA,2048,17,38.262,0.094,1.065
RSA,2048,18,20.608,0.097,1.063
RSA,2048,19,38.737,0.099,1.07
