experiment,prime_N,generator_g,private_key_a,public_key_A,seed,order_found,recovered_key,success,n_count_qubits,circuit_depth_approx,qft_time_ms,total_time_ms
Shors_DH,7,2,3,1,0,,,False,4,11,128.166,131.106
Shors_DH,7,2,3,1,1,,,False,4,11,197.906,200.968
Shors_DH,7,2,3,1,2,,,False,4,11,203.167,205.839
Shors_DH,7,2,3,1,3,,,False,4,11,193.348,196.164
Shors_DH,7,2,3,1,4,,,False,4,11,202.471,205.054
Shors_DH,7,2,3,1,5,,,False,4,11,196.708,199.283
Shors_DH,7,2,3,1,6,,,False,4,11,195.096,197.387
Shors_DH,7,2,3,1,7,,,False,4,11,183.021,186.177
Shors_DH,7,2,3,1,8,,,False,4,11,185.72,188.285
Shors_DH,7,2,3,1,9,,,False,4,11,194.54,197.36
Shors_DH,11,2,3,8,0,,,False,5,14,191.855,195.183
Shors_DH,11,2,3,8,1,,,False,5,14,194.877,198.396
Shors_DH,11,2,3,8,2,,,False,5,14,186.926,190.524
Shors_DH,11,2,3,8,3,,,False,5,14,189.164,192.497
Shors_DH,11,2,3,8,4,,,False,5,14,195.846,199.348
Shors_DH,11,2,3,8,5,,,False,5,14,188.456,191.827
Shors_DH,11,2,3,8,6,,,False,5,14,192.302,195.535
Shors_DH,11,2,3,8,7,,,False,5,14,197.131,201.191
Shors_DH,11,2,3,8,8,,,False,5,14,243.752,247.026
Shors_DH,11,2,3,8,9,,,False,5,14,221.391,224.311
Shors_DH,13,2,3,8,0,,,False,5,14,195.051,199.169
Shors_DH,13,2,3,8,1,,,False,5,14,201.28,204.364
Shors_DH,13,2,3,8,2,,,False,5,14,198.837,202.055
Shors_DH,13,2,3,8,3,,,False,5,14,230.032,233.815
Shors_DH,13,2,3,8,4,,,False,5,14,230.538,233.611
Shors_DH,13,2,3,8,5,,,False,5,14,224.874,227.867
Shors_DH,13,2,3,8,6,,,False,5,14,218.614,221.766
Shors_DH,13,2,3,8,7,,,False,5,14,251.776,255.175
Shors_DH,13,2,3,8,8,,,False,5,14,236.451,239.389
Shors_DH,13,2,3,8,9,,,False,5,14,217.596,220.754
Shors_DH,15,2,3,8,0,,,False,5,14,230.72,234.092
Shors_DH,15,2,3,8,1,,,False,5,14,250.253,253.501
Shors_DH,15,2,3,8,2,,,False,5,14,233.431,236.917
Shors_DH,15,2,3,8,3,,,False,5,14,209.86,212.718
Shors_DH,15,2,3,8,4,,,False,5,14,208.261,211.387
Shors_DH,15,2,3,8,5,,,False,5,14,193.735,197.257
Shors_DH,15,2,3,8,6,,,False,5,14,203.835,207.671
Shors_DH,15,2,3,8,7,,,False,5,14,200.829,204.059
Shors_DH,15,2,3,8,8,,,False,5,14,203.704,206.885
Shors_DH,15,2,3,8,9,,,False,5,14,198.122,200.896
Shors_DH,17,2,3,8,0,16,3,True,6,17,219.716,224.251
Shors_DH,17,2,3,8,1,16,3,True,6,17,233.304,237.758
Shors_DH,17,2,3,8,2,16,3,True,6,17,219.545,223.555
Shors_DH,17,2,3,8,3,16,3,True,6,17,219.367,222.374
Shors_DH,17,2,3,8,4,16,3,True,6,17,201.639,205.199
Shors_DH,17,2,3,8,5,16,3,True,6,17,202.005,205.756
Shors_DH,17,2,3,8,6,16,3,True,6,17,205.478,210.017
Shors_DH,17,2,3,8,7,16,3,True,6,17,230.474,235.088
Shors_DH,17,2,3,8,8,16,3,True,6,17,211.41,215.262
Shors_DH,17,2,3,8,9,16,3,True,6,17,210.123,213.862
Shors_DH,21,2,3,8,0,,,False,6,17,220.433,224.852
Shors_DH,21,2,3,8,1,,,False,6,17,213.419,216.89
Shors_DH,21,2,3,8,2,,,False,6,17,208.628,212.196
Shors_DH,21,2,3,8,3,,,False,6,17,212.325,216.496
Shors_DH,21,2,3,8,4,,,False,6,17,199.572,202.974
Shors_DH,21,2,3,8,5,,,False,6,17,201.506,204.913
Shors_DH,21,2,3,8,6,,,False,6,17,210.766,214.41
Shors_DH,21,2,3,8,7,,,False,6,17,197.811,201.407
Shors_DH,21,2,3,8,8,,,False,6,17,200.193,203.805
Shors_DH,21,2,3,8,9,,,False,6,17,200.245,203.811
