protocol,n_qubits,seed,key_length,efficiency,time_ms
BB84,8,0,3,37.5,1100.748
BB84,8,1,4,50.0,921.552
BB84,8,2,4,50.0,925.361
BB84,8,3,3,37.5,981.042
BB84,8,4,4,50.0,940.18
BB84,8,5,4,50.0,948.84
BB84,8,6,2,25.0,948.412
BB84,8,7,2,25.0,925.83
BB84,8,8,7,87.5,937.914
BB84,8,9,4,50.0,958.058
BB84,8,10,2,25.0,912.854
BB84,8,11,5,62.5,918.368
BB84,8,12,4,50.0,1019.343
BB84,8,13,5,62.5,920.806
BB84,8,14,1,12.5,1040.143
BB84,8,15,5,62.5,964.172
BB84,8,16,4,50.0,952.051
BB84,8,17,6,75.0,929.825
BB84,8,18,8,100.0,927.405
BB84,8,19,3,37.5,964.934
BB84,8,20,4,50.0,914.084
BB84,8,21,5,62.5,918.277
BB84,8,22,3,37.5,917.71
BB84,8,23,4,50.0,913.215
BB84,8,24,7,87.5,920.586
BB84,8,25,3,37.5,955.372
BB84,8,26,4,50.0,910.729
BB84,8,27,3,37.5,953.908
BB84,8,28,6,75.0,908.011
BB84,8,29,5,62.5,906.507
BB84,8,30,4,50.0,1043.493
BB84,8,31,3,37.5,1021.475
BB84,8,32,4,50.0,919.279
BB84,8,33,5,62.5,918.335
BB84,8,34,4,50.0,942.604
BB84,8,35,4,50.0,920.745
BB84,8,36,0,0.0,952.048
BB84,8,37,4,50.0,938.595
BB84,8,38,4,50.0,922.352
BB84,8,39,3,37.5,932.075
BB84,8,40,3,37.5,910.931
BB84,8,41,4,50.0,940.101
BB84,8,42,4,50.0,927.603
BB84,8,43,3,37.5,984.237
BB84,8,44,3,37.5,915.575
BB84,8,45,2,25.0,919.129
BB84,8,46,5,62.5,925.391
BB84,8,47,6,75.0,1078.813
BB84,8,48,6,75.0,919.976
BB84,8,49,2,25.0,931.008
BB84,16,0,11,68.75,1836.8
BB84,16,1,6,37.5,1858.168
BB84,16,2,10,62.5,1834.502
BB84,16,3,5,31.25,1845.064
BB84,16,4,10,62.5,1900.516
BB84,16,5,10,62.5,1857.777
BB84,16,6,8,50.0,1894.991
BB84,16,7,7,43.75,1833.682
BB84,16,8,9,56.25,1850.565
BB84,16,9,7,43.75,1880.158
BB84,16,10,9,56.25,1865.896
BB84,16,11,7,43.75,2070.979
BB84,16,12,9,56.25,1930.522
BB84,16,13,8,50.0,1857.747
BB84,16,14,8,50.0,1894.785
BB84,16,15,6,37.5,1942.552
BB84,16,16,4,25.0,3442.053
BB84,16,17,11,68.75,2650.992
BB84,16,18,5,31.25,5540.74
BB84,16,19,8,50.0,2456.684
BB84,16,20,11,68.75,2620.28
BB84,16,21,13,81.25,2675.927
BB84,16,22,8,50.0,2940.473
BB84,16,23,8,50.0,3473.883
BB84,16,24,9,56.25,3358.034
BB84,16,25,8,50.0,2330.693
BB84,16,26,11,68.75,1917.358
BB84,16,27,11,68.75,1915.952
BB84,16,28,11,68.75,1907.838
BB84,16,29,8,50.0,1964.445
BB84,16,30,9,56.25,1944.308
BB84,16,31,7,43.75,1901.488
BB84,16,32,11,68.75,1901.13
BB84,16,33,6,37.5,2078.921
BB84,16,34,7,43.75,2217.535
BB84,16,35,7,43.75,2051.884
BB84,16,36,7,43.75,1924.501
BB84,16,37,6,37.5,1953.797
BB84,16,38,8,50.0,1914.181
BB84,16,39,6,37.5,2004.864
BB84,16,40,6,37.5,2116.152
BB84,16,41,11,68.75,1992.877
BB84,16,42,11,68.75,1914.626
BB84,16,43,9,56.25,1938.562
BB84,16,44,11,68.75,1972.062
BB84,16,45,11,68.75,1891.23
BB84,16,46,5,31.25,2052.521
BB84,16,47,9,56.25,1901.574
BB84,16,48,9,56.25,1901.513
BB84,16,49,7,43.75,2089.046
BB84,32,0,22,68.75,4373.307
BB84,32,1,18,56.25,4227.811
BB84,32,2,20,62.5,3730.635
BB84,32,3,17,53.125,3762.405
BB84,32,4,15,46.875,3738.064
BB84,32,5,11,34.375,3977.045
BB84,32,6,16,50.0,3883.397
BB84,32,7,20,62.5,4073.87
BB84,32,8,17,53.125,4323.758
BB84,32,9,12,37.5,4236.301
BB84,32,10,13,40.625,4685.52
BB84,32,11,14,43.75,4459.011
BB84,32,12,14,43.75,3932.648
BB84,32,13,18,56.25,4215.549
BB84,32,14,18,56.25,3879.764
BB84,32,15,20,62.5,3814.943
BB84,32,16,18,56.25,3794.068
BB84,32,17,19,59.375,4047.844
BB84,32,18,21,65.625,3900.267
BB84,32,19,13,40.625,4154.031
BB84,32,20,15,46.875,3721.168
BB84,32,21,18,56.25,4240.63
BB84,32,22,18,56.25,3935.659
BB84,32,23,11,34.375,3784.389
BB84,32,24,14,43.75,3886.555
BB84,32,25,15,46.875,3950.822
BB84,32,26,21,65.625,3990.006
BB84,32,27,18,56.25,3938.576
BB84,32,28,17,53.125,5257.68
BB84,32,29,19,59.375,3731.753
BB84,32,30,15,46.875,3847.759
BB84,32,31,19,59.375,3862.107
BB84,32,32,14,43.75,3968.1
BB84,32,33,16,50.0,4010.454
BB84,32,34,18,56.25,4421.152
BB84,32,35,17,53.125,4106.755
BB84,32,36,15,46.875,3963.454
BB84,32,37,17,53.125,3764.674
BB84,32,38,21,65.625,3790.383
BB84,32,39,16,50.0,4437.568
BB84,32,40,14,43.75,4831.133
BB84,32,41,17,53.125,4833.844
BB84,32,42,13,40.625,4792.111
BB84,32,43,15,46.875,4925.514
BB84,32,44,13,40.625,4520.91
BB84,32,45,13,40.625,7020.048
BB84,32,46,17,53.125,5883.851
BB84,32,47,22,68.75,8175.623
BB84,32,48,9,28.125,18221.636
BB84,32,49,13,40.625,12610.556
BB84,64,0,33,51.5625,18230.583
BB84,64,1,32,50.0,10237.461
BB84,64,2,36,56.25,8106.897
BB84,64,3,30,46.875,9438.459
BB84,64,4,28,43.75,11326.124
BB84,64,5,30,46.875,8289.614
BB84,64,6,37,57.8125,8318.932
BB84,64,7,32,50.0,8929.416
BB84,64,8,22,34.375,10432.77
BB84,64,9,30,46.875,10293.081
BB84,64,10,42,65.625,11364.755
BB84,64,11,34,53.125,10528.809
BB84,64,12,27,42.1875,9304.656
BB84,64,13,30,46.875,9039.274
BB84,64,14,33,51.5625,13389.722
BB84,64,15,33,51.5625,11542.003
BB84,64,16,23,35.9375,11245.329
BB84,64,17,29,45.3125,9367.562
BB84,64,18,30,46.875,8884.314
BB84,64,19,33,51.5625,8150.611
BB84,64,20,33,51.5625,7774.251
BB84,64,21,25,39.0625,8283.913
BB84,64,22,43,67.1875,9029.894
BB84,64,23,34,53.125,8026.003
BB84,64,24,33,51.5625,8026.138
BB84,64,25,33,51.5625,7924.403
BB84,64,26,32,50.0,7901.67
BB84,64,27,28,43.75,7502.91
BB84,64,28,37,57.8125,8063.216
BB84,64,29,32,50.0,8255.886
BB84,64,30,31,48.4375,8680.834
BB84,64,31,35,54.6875,8700.751
BB84,64,32,36,56.25,7410.382
BB84,64,33,34,53.125,7821.045
BB84,64,34,36,56.25,7861.695
BB84,64,35,31,48.4375,7464.439
BB84,64,36,30,46.875,7953.996
BB84,64,37,26,40.625,8029.023
BB84,64,38,40,62.5,7602.084
BB84,64,39,34,53.125,8012.456
BB84,64,40,31,48.4375,7982.97
BB84,64,41,29,45.3125,7954.973
BB84,64,42,28,43.75,7696.778
BB84,64,43,31,48.4375,7906.135
BB84,64,44,33,51.5625,7934.929
