protocol,n_qubits,seed,eve,qber,key_length
BB84,8,0,True,33.333,3
BB84,8,0,False,0.0,3
BB84,8,1,True,25.0,4
BB84,8,1,False,0.0,4
BB84,8,2,True,25.0,4
BB84,8,2,False,0.0,4
BB84,8,3,True,0.0,3
BB84,8,3,False,0.0,3
BB84,8,4,True,25.0,4
BB84,8,4,False,0.0,4
BB84,8,5,True,25.0,4
BB84,8,5,False,0.0,4
BB84,8,6,True,0.0,2
BB84,8,6,False,0.0,2
BB84,8,7,True,0.0,2
BB84,8,7,False,0.0,2
BB84,8,8,True,14.286,7
BB84,8,8,False,0.0,7
BB84,8,9,True,50.0,4
BB84,8,9,False,0.0,4
BB84,8,10,True,0.0,2
BB84,8,10,False,0.0,2
BB84,8,11,True,40.0,5
BB84,8,11,False,0.0,5
BB84,8,12,True,50.0,4
BB84,8,12,False,0.0,4
BB84,8,13,True,40.0,5
BB84,8,13,False,0.0,5
BB84,8,14,True,0.0,1
BB84,8,14,False,0.0,1
BB84,8,15,True,0.0,5
BB84,8,15,False,0.0,5
BB84,8,16,True,0.0,4
BB84,8,16,False,0.0,4
BB84,8,17,True,33.333,6
BB84,8,17,False,0.0,6
BB84,8,18,True,25.0,8
BB84,8,18,False,0.0,8
BB84,8,19,True,33.333,3
BB84,8,19,False,0.0,3
BB84,8,20,True,25.0,4
BB84,8,20,False,0.0,4
BB84,8,21,True,40.0,5
BB84,8,21,False,0.0,5
BB84,8,22,True,0.0,3
BB84,8,22,False,0.0,3
BB84,8,23,True,50.0,4
BB84,8,23,False,0.0,4
BB84,8,24,True,28.571,7
BB84,8,24,False,0.0,7
BB84,8,25,True,0.0,3
BB84,8,25,False,0.0,3
BB84,8,26,True,0.0,4
BB84,8,26,False,0.0,4
BB84,8,27,True,33.333,3
BB84,8,27,False,0.0,3
BB84,8,28,True,16.667,6
BB84,8,28,False,0.0,6
BB84,8,29,True,60.0,5
BB84,8,29,False,0.0,5
BB84,8,30,True,75.0,4
BB84,8,30,False,0.0,4
BB84,8,31,True,0.0,3
BB84,8,31,False,0.0,3
BB84,8,32,True,25.0,4
BB84,8,32,False,0.0,4
BB84,8,33,True,20.0,5
BB84,8,33,False,0.0,5
BB84,8,34,True,25.0,4
BB84,8,34,False,0.0,4
BB84,8,35,True,50.0,4
BB84,8,35,False,0.0,4
BB84,8,36,True,0.0,0
BB84,8,36,False,0.0,0
BB84,8,37,True,50.0,4
BB84,8,37,False,0.0,4
BB84,8,38,True,25.0,4
BB84,8,38,False,0.0,4
BB84,8,39,True,0.0,3
BB84,8,39,False,0.0,3
BB84,8,40,True,33.333,3
BB84,8,40,False,0.0,3
BB84,8,41,True,0.0,4
BB84,8,41,False,0.0,4
BB84,8,42,True,50.0,4
BB84,8,42,False,0.0,4
BB84,8,43,True,33.333,3
BB84,8,43,False,0.0,3
BB84,8,44,True,0.0,3
BB84,8,44,False,0.0,3
BB84,8,45,True,0.0,2
BB84,8,45,False,0.0,2
BB84,8,46,True,20.0,5
BB84,8,46,False,0.0,5
BB84,8,47,True,0.0,6
BB84,8,47,False,0.0,6
BB84,8,48,True,33.333,6
BB84,8,48,False,0.0,6
BB84,8,49,True,50.0,2
BB84,8,49,False,0.0,2
BB84,16,0,True,9.091,11
BB84,16,0,False,0.0,11
BB84,16,1,True,50.0,6
BB84,16,1,False,0.0,6
BB84,16,2,True,40.0,10
BB84,16,2,False,0.0,10
BB84,16,3,True,0.0,5
BB84,16,3,False,0.0,5
BB84,16,4,True,20.0,10
BB84,16,4,False,0.0,10
BB84,16,5,True,40.0,10
BB84,16,5,False,0.0,10
BB84,16,6,True,25.0,8
BB84,16,6,False,0.0,8
BB84,16,7,True,42.857,7
BB84,16,7,False,0.0,7
BB84,16,8,True,22.222,9
