protocol,prime_idx,prime,key_bits,seed,attack_steps,attack_time_ms,keygen_time_ms
DH,0,23,5,0,5,0.0063,0.0025
DH,0,23,5,1,6,0.0035,0.0011
DH,0,23,5,2,5,0.0018,0.0007
DH,0,23,5,3,6,0.0021,0.0007
DH,0,23,5,4,6,0.0014,0.0006
DH,0,23,5,5,7,0.0017,0.0008
DH,0,23,5,6,6,0.0014,0.0006
DH,0,23,5,7,5,0.0013,0.0006
DH,0,23,5,8,6,0.0013,0.0007
DH,0,23,5,9,6,0.0014,0.0006
DH,0,23,5,10,6,0.0014,0.0006
DH,0,23,5,11,6,0.0014,0.0007
DH,0,23,5,12,6,0.0013,0.0007
DH,0,23,5,13,7,0.0015,0.0006
DH,0,23,5,14,6,0.0014,0.0007
DH,0,23,5,15,6,0.0014,0.0005
DH,0,23,5,16,5,0.0012,0.0008
DH,0,23,5,17,6,0.0014,0.0009
DH,0,23,5,18,6,0.0014,0.0006
DH,0,23,5,19,5,0.0013,0.0006
DH,0,23,5,20,6,0.0014,0.0007
DH,0,23,5,21,6,0.0013,0.0007
DH,0,23,5,22,6,0.0014,0.0006
DH,0,23,5,23,5,0.0015,0.0007
DH,0,23,5,24,5,0.0014,0.0007
DH,0,23,5,25,5,0.0014,0.0005
DH,0,23,5,26,6,0.0013,0.0005
DH,0,23,5,27,6,0.0014,0.0007
DH,0,23,5,28,6,0.0013,0.0006
DH,0,23,5,29,6,0.0012,0.0005
DH,0,23,5,30,6,0.0013,0.0006
DH,0,23,5,31,5,0.0014,0.0005
DH,0,23,5,32,5,0.0014,0.0005
DH,0,23,5,33,6,0.0013,0.0007
DH,0,23,5,34,6,0.0013,0.0007
DH,0,23,5,35,6,0.0013,0.0007
DH,0,23,5,36,5,0.0012,0.0006
DH,0,23,5,37,7,0.0014,0.0006
DH,0,23,5,38,5,0.0012,0.0007
DH,0,23,5,39,6,0.0015,0.0006
DH,0,23,5,40,6,0.0014,0.0007
DH,0,23,5,41,5,0.0013,0.0008
DH,0,23,5,42,6,0.0013,0.0005
DH,0,23,5,43,5,0.0013,0.0006
DH,0,23,5,44,5,0.0013,0.0007
DH,0,23,5,45,7,0.0015,0.0007
DH,0,23,5,46,5,0.0013,0.0007
DH,0,23,5,47,5,0.0012,0.0006
DH,0,23,5,48,6,0.0013,0.0006
DH,0,23,5,49,5,0.0016,0.0006
DH,1,47,6,0,7,0.0044,0.0022
DH,1,47,6,1,8,0.0024,0.0012
DH,1,47,6,2,7,0.002,0.0008
DH,1,47,6,3,9,0.0019,0.0009
DH,1,47,6,4,9,0.002,0.001
DH,1,47,6,5,9,0.002,0.0009
DH,1,47,6,6,9,0.0019,0.0009
DH,1,47,6,7,10,0.0023,0.0008
DH,1,47,6,8,9,0.0018,0.0009
DH,1,47,6,9,8,0.0018,0.001
DH,1,47,6,10,9,0.0019,0.0008
DH,1,47,6,11,8,0.0018,0.001
DH,1,47,6,12,8,0.0018,0.0008
DH,1,47,6,13,9,0.0019,0.0007
DH,1,47,6,14,8,0.0019,0.0007
DH,1,47,6,15,9,0.0019,0.0007
DH,1,47,6,16,7,0.0017,0.0008
DH,1,47,6,17,8,0.0019,0.0009
DH,1,47,6,18,8,0.002,0.0007
DH,1,47,6,19,10,0.0019,0.0008
DH,1,47,6,20,10,0.0019,0.0009
DH,1,47,6,21,8,0.0019,0.0008
DH,1,47,6,22,8,0.0018,0.0008
DH,1,47,6,23,9,0.0019,0.0008
DH,1,47,6,24,7,0.0017,0.001
DH,1,47,6,25,7,0.0018,0.0006
DH,1,47,6,26,9,0.0019,0.0009
DH,1,47,6,27,9,0.002,0.0008
DH,1,47,6,28,8,0.0019,0.0007
DH,1,47,6,29,9,0.0023,0.0008
DH,1,47,6,30,8,0.0019,0.0008
DH,1,47,6,31,7,0.0018,0.0006
DH,1,47,6,32,7,0.0021,0.0009
DH,1,47,6,33,9,0.002,0.0008
DH,1,47,6,34,8,0.0019,0.0008
DH,1,47,6,35,9,0.0021,0.0009
DH,1,47,6,36,7,0.0018,0.0007
DH,1,47,6,37,10,0.0021,0.0009
DH,1,47,6,38,9,0.0021,0.0008
DH,1,47,6,39,9,0.0019,0.0008
DH,1,47,6,40,8,0.0018,0.001
DH,1,47,6,41,7,0.0017,0.0009
DH,1,47,6,42,9,0.0021,0.0009
DH,1,47,6,43,7,0.0017,0.0007
DH,1,47,6,44,7,0.0017,0.001
DH,1,47,6,45,9,0.0017,0.0008
DH,1,47,6,46,7,0.0016,0.0008
DH,1,47,6,47,7,0.0016,0.0006
DH,1,47,6,48,9,0.0018,0.001
DH,1,47,6,49,7,0.0016,0.0006
DH,2,59,6,0,15,0.0098,0.0026
DH,2,59,6,1,9,0.0059,0.0019
DH,2,59,6,2,15,0.0074,0.002
DH,2,59,6,3,10,0.0059,0.0018
DH,2,59,6,4,10,0.0058,0.0016
DH,2,59,6,5,13,0.0071,0.0019
DH,2,59,6,6,14,0.0068,0.0017
DH,2,59,6,7,10,0.0058,0.0016
DH,2,59,6,8,10,0.006,0.0015
DH,2,59,6,9,11,0.0061,0.002
DH,2,59,6,10,12,0.0062,0.0014
DH,2,59,6,11,11,0.0061,0.002
DH,2,59,6,12,12,0.0067,0.0017
DH,2,59,6,13,10,0.0058,0.0017
DH,2,59,6,14,9,0.0054,0.0017
DH,2,59,6,15,9,0.0056,0.0014
DH,2,59,6,16,11,0.0062,0.0016
DH,2,59,6,17,12,0.0066,0.0019
DH,2,59,6,18,9,0.0058,0.0015
DH,2,59,6,19,13,0.0068,0.0016
DH,2,59,6,20,14,0.0073,0.0019
DH,2,59,6,21,9,0.0057,0.0017
DH,2,59,6,22,9,0.0056,0.0015
DH,2,59,6,23,14,0.0068,0.0017
DH,2,59,6,24,13,0.0068,0.002
DH,2,59,6,25,11,0.0058,0.0017
DH,2,59,6,26,14,0.007,0.0017
DH,2,59,6,27,13,0.0066,0.0017
DH,2,59,6,28,9,0.0056,0.0016
DH,2,59,6,29,12,0.0062,0.0015
DH,2,59,6,30,12,0.0068,0.002
DH,2,59,6,31,8,0.0035,0.0012
DH,2,59,6,32,8,0.0021,0.0008
DH,2,59,6,33,12,0.0021,0.0009
DH,2,59,6,34,12,0.002,0.0008
DH,2,59,6,35,12,0.002,0.0009
DH,2,59,6,36,10,0.0017,0.0008
DH,2,59,6,37,13,0.002,0.0009
DH,2,59,6,38,13,0.0019,0.0009
DH,2,59,6,39,9,0.0016,0.0007
DH,2,59,6,40,11,0.0017,0.0011
DH,2,59,6,41,11,0.0018,0.0008
DH,2,59,6,42,13,0.0019,0.0009
DH,2,59,6,43,8,0.0016,0.0007
DH,2,59,6,44,11,0.0026,0.0008
DH,2,59,6,45,10,0.0018,0.0009
DH,2,59,6,46,8,0.0016,0.0007
DH,2,59,6,47,11,0.002,0.0006
DH,2,59,6,48,12,0.0019,0.0009
DH,2,59,6,49,8,0.0017,0.0006
DH,3,83,7,0,15,0.005,0.0018
