protocol,key_bits,seed,keygen_ms,enc_ms,dec_ms
RSA,1024,0,47.433,15.943,0.715
RSA,1024,1,6.452,0.064,0.309
RSA,1024,2,7.946,0.052,0.304
RSA,1024,3,9.296,0.058,0.302
RSA,1024,4,5.517,0.045,0.314
RSA,1024,5,13.683,0.068,0.309
RSA,1024,6,6.513,0.073,0.305
RSA,1024,7,5.468,0.045,0.305
RSA,1024,8,12.086,0.075,0.307
RSA,1024,9,8.052,0.05,0.311
RSA,1024,10,6.481,0.066,0.308
RSA,1024,11,7.357,0.045,0.299
RSA,1024,12,9.331,0.071,0.317
RSA,1024,13,13.793,0.079,0.298
RSA,1024,14,7.85,0.047,0.306
RSA,1024,15,16.873,0.079,0.309
RSA,1024,16,8.913,0.047,0.311
RSA,1024,17,9.586,0.069,0.317
RSA,1024,18,5.167,0.067,0.311
RSA,1024,19,8.397,0.065,0.304
RSA,2048,0,51.944,0.093,1.066
RSA,2048,1,43.928,0.09,1.041
RSA,2048,2,45.471,0.094,1.03
RSA,2048,3,37.463,0.087,1.038
RSA,2048,4,100.239,0.099,1.068
RSA,2048,5,146.595,0.095,1.049
RSA,2048,6,24.123,0.088,1.036
RSA,2048,7,18.43,0.088,1.025
RSA,2048,8,88.03,0.099,1.033
RSA,2048,9,9.041,0.111,1.043
RSA,2048,10,23.768,0.083,1.071
RSA,2048,11,43.87,0.09,1.061
RSA,2048,12,16.038,0.077,1.041
RSA,2048,13,11.929,0.074,1.087
RSA,2048,14,58.581,0.095,1.045
RSA,2048,15,45.564,0.089,1.05
RSA,2048,16,88.607,0.095,1.164
RSA,2048,17,39.267,0.089,1.056
RSA,2048,18,97.314,0.094,1.046
RSA,2048,19,13.07,0.084,1.043
