protocol,input_bytes,seed,hash_ms,classical_preimage_bits,post_grover_preimage_bits,classical_collision_bits,post_grover_collision_bits
SHA-256,64,0,0.0533,256,128,128,85
SHA-256,64,1,0.0036,256,128,128,85
SHA-256,64,2,0.0018,256,128,128,85
SHA-256,64,3,0.0014,256,128,128,85
SHA-256,64,4,0.0014,256,128,128,85
SHA-256,64,5,0.0014,256,128,128,85
SHA-256,64,6,0.0013,256,128,128,85
SHA-256,64,7,0.0013,256,128,128,85
SHA-256,64,8,0.0013,256,128,128,85
SHA-256,64,9,0.0013,256,128,128,85
SHA-256,64,10,0.0014,256,128,128,85
SHA-256,64,11,0.0014,256,128,128,85
SHA-256,64,12,0.0013,256,128,128,85
SHA-256,64,13,0.0014,256,128,128,85
SHA-256,64,14,0.0014,256,128,128,85
SHA-256,64,15,0.0014,256,128,128,85
SHA-256,64,16,0.0013,256,128,128,85
SHA-256,64,17,0.0013,256,128,128,85
SHA-256,64,18,0.0014,256,128,128,85
SHA-256,64,19,0.0013,256,128,128,85
SHA-256,64,20,0.0014,256,128,128,85
SHA-256,64,21,0.0013,256,128,128,85
SHA-256,64,22,0.0013,256,128,128,85
SHA-256,64,23,0.0013,256,128,128,85
SHA-256,64,24,0.0017,256,128,128,85
SHA-256,64,25,0.0014,256,128,128,85
SHA-256,64,26,0.0014,256,128,128,85
SHA-256,64,27,0.0014,256,128,128,85
SHA-256,64,28,0.0013,256,128,128,85
SHA-256,64,29,0.0013,256,128,128,85
SHA-256,64,30,0.0013,256,128,128,85
SHA-256,64,31,0.0013,256,128,128,85
SHA-256,64,32,0.0014,256,128,128,85
SHA-256,64,33,0.0014,256,128,128,85
SHA-256,64,34,0.0014,256,128,128,85
SHA-256,64,35,0.0014,256,128,128,85
SHA-256,64,36,0.0014,256,128,128,85
SHA-256,64,37,0.0014,256,128,128,85
SHA-256,64,38,0.0014,256,128,128,85
SHA-256,64,39,0.0013,256,128,128,85
SHA-256,64,40,0.0013,256,128,128,85
SHA-256,64,41,0.0014,256,128,128,85
SHA-256,64,42,0.0013,256,128,128,85
