experiment,prime_N,generator_g,private_key_a,public_key_A,seed,order_found,recovered_key,success,n_count_qubits,circuit_depth_approx,qft_time_ms,total_time_ms
Shors_DH,7,2,3,1,0,,,False,4,11,122.579,125.756
Shors_DH,7,2,3,1,1,,,False,4,11,185.178,187.813
Shors_DH,7,2,3,1,2,,,False,4,11,189.427,192.304
Shors_DH,7,2,3,1,3,,,False,4,11,182.287,184.779
Shors_DH,7,2,3,1,4,,,False,4,11,184.136,186.924
Shors_DH,7,2,3,1,5,,,False,4,11,183.748,186.502
Shors_DH,7,2,3,1,6,,,False,4,11,184.52,187.262
Shors_DH,7,2,3,1,7,,,False,4,11,182.414,184.979
Shors_DH,7,2,3,1,8,,,False,4,11,185.021,187.575
Shors_DH,7,2,3,1,9,,,False,4,11,189.215,191.832
Shors_DH,11,2,3,8,0,,,False,5,14,183.368,187.319
Shors_DH,11,2,3,8,1,,,False,5,14,185.545,188.786
Shors_DH,11,2,3,8,2,,,False,5,14,185.631,189.147
Shors_DH,11,2,3,8,3,,,False,5,14,183.921,187.331
Shors_DH,11,2,3,8,4,,,False,5,14,217.366,220.691
Shors_DH,11,2,3,8,5,,,False,5,14,195.351,198.844
Shors_DH,11,2,3,8,6,,,False,5,14,186.861,190.4
Shors_DH,11,2,3,8,7,,,False,5,14,181.329,184.641
Shors_DH,11,2,3,8,8,,,False,5,14,187.547,190.821
Shors_DH,11,2,3,8,9,,,False,5,14,178.118,181.417
Shors_DH,13,2,3,8,0,,,False,5,14,187.2,190.452
Shors_DH,13,2,3,8,1,,,False,5,14,180.414,183.635
Shors_DH,13,2,3,8,2,,,False,5,14,190.203,193.495
Shors_DH,13,2,3,8,3,,,False,5,14,181.833,184.974
Shors_DH,13,2,3,8,4,,,False,5,14,181.248,184.339
Shors_DH,13,2,3,8,5,,,False,5,14,187.41,190.395
Shors_DH,13,2,3,8,6,,,False,5,14,190.383,193.608
Shors_DH,13,2,3,8,7,,,False,5,14,183.012,186.429
Shors_DH,13,2,3,8,8,,,False,5,14,178.333,181.567
Shors_DH,13,2,3,8,9,,,False,5,14,181.017,184.333
Shors_DH,15,2,3,8,0,,,False,5,14,187.169,190.384
Shors_DH,15,2,3,8,1,,,False,5,14,185.253,188.265
Shors_DH,15,2,3,8,2,,,False,5,14,187.097,190.467
Shors_DH,15,2,3,8,3,,,False,5,14,178.848,181.823
Shors_DH,15,2,3,8,4,,,False,5,14,185.602,189.045
Shors_DH,15,2,3,8,5,,,False,5,14,181.194,184.345
Shors_DH,15,2,3,8,6,,,False,5,14,184.483,187.889
Shors_DH,15,2,3,8,7,,,False,5,14,183.223,186.412
Shors_DH,15,2,3,8,8,,,False,5,14,187.011,190.252
Shors_DH,15,2,3,8,9,,,False,5,14,184.312,187.391
Shors_DH,17,2,3,8,0,16,3,True,6,17,183.309,187.155
Shors_DH,17,2,3,8,1,16,3,True,6,17,193.983,197.669
Shors_DH,17,2,3,8,2,16,3,True,6,17,214.351,218.846
Shors_DH,17,2,3,8,3,16,3,True,6,17,195.662,199.723
Shors_DH,17,2,3,8,4,16,3,True,6,17,177.238,181.502
Shors_DH,17,2,3,8,5,16,3,True,6,17,185.906,189.341
Shors_DH,17,2,3,8,6,16,3,True,6,17,182.046,185.934
Shors_DH,17,2,3,8,7,16,3,True,6,17,185.463,189.324
Shors_DH,17,2,3,8,8,16,3,True,6,17,183.105,187.021
Shors_DH,17,2,3,8,9,16,3,True,6,17,185.102,189.147
Shors_DH,21,2,3,8,0,,,False,6,17,183.538,187.976
Shors_DH,21,2,3,8,1,,,False,6,17,186.551,190.444
Shors_DH,21,2,3,8,2,,,False,6,17,186.784,190.894
Shors_DH,21,2,3,8,3,,,False,6,17,189.961,193.896
Shors_DH,21,2,3,8,4,,,False,6,17,179.745,183.546
Shors_DH,21,2,3,8,5,,,False,6,17,182.938,187.019
Shors_DH,21,2,3,8,6,,,False,6,17,183.5,187.208
Shors_DH,21,2,3,8,7,,,False,6,17,189.27,193.091
Shors_DH,21,2,3,8,8,,,False,6,17,178.996,182.615
Shors_DH,21,2,3,8,9,,,False,6,17,183.963,187.893
