protocol,n_qubits,seed,key_length,efficiency,time_ms
BB84,8,0,3,37.5,1025.394
BB84,8,1,4,50.0,961.939
BB84,8,2,4,50.0,922.368
BB84,8,3,3,37.5,930.527
BB84,8,4,4,50.0,1183.882
BB84,8,5,4,50.0,955.631
BB84,8,6,2,25.0,942.364
BB84,8,7,2,25.0,1091.703
BB84,8,8,7,87.5,1043.686
BB84,8,9,4,50.0,1090.378
BB84,8,10,2,25.0,1077.209
BB84,8,11,5,62.5,919.594
BB84,8,12,4,50.0,885.936
BB84,8,13,5,62.5,881.128
BB84,8,14,1,12.5,915.483
BB84,8,15,5,62.5,911.819
BB84,8,16,4,50.0,887.213
BB84,8,17,6,75.0,921.444
BB84,8,18,8,100.0,916.605
BB84,8,19,3,37.5,929.078
BB84,8,20,4,50.0,941.194
BB84,8,21,5,62.5,1106.902
BB84,8,22,3,37.5,1023.99
BB84,8,23,4,50.0,1022.602
BB84,8,24,7,87.5,896.718
BB84,8,25,3,37.5,947.007
BB84,8,26,4,50.0,910.084
BB84,8,27,3,37.5,916.039
BB84,8,28,6,75.0,902.644
BB84,8,29,5,62.5,1016.198
BB84,8,30,4,50.0,929.677
BB84,8,31,3,37.5,968.86
BB84,8,32,4,50.0,918.908
BB84,8,33,5,62.5,946.584
BB84,8,34,4,50.0,935.839
BB84,8,35,4,50.0,973.304
BB84,8,36,0,0.0,1032.575
BB84,8,37,4,50.0,931.941
BB84,8,38,4,50.0,953.975
BB84,8,39,3,37.5,948.597
BB84,8,40,3,37.5,979.371
BB84,8,41,4,50.0,1011.622
BB84,8,42,4,50.0,994.257
BB84,8,43,3,37.5,1156.32
BB84,8,44,3,37.5,1556.937
BB84,8,45,2,25.0,1082.614
BB84,8,46,5,62.5,1523.829
BB84,8,47,6,75.0,1292.982
BB84,8,48,6,75.0,1923.475
BB84,8,49,2,25.0,2044.796
BB84,16,0,11,68.75,3608.67
BB84,16,1,6,37.5,2408.291
BB84,16,2,10,62.5,1860.366
BB84,16,3,5,31.25,1902.065
BB84,16,4,10,62.5,1852.81
BB84,16,5,10,62.5,1947.655
BB84,16,6,8,50.0,1962.458
BB84,16,7,7,43.75,1781.696
BB84,16,8,9,56.25,1787.87
BB84,16,9,7,43.75,1885.727
BB84,16,10,9,56.25,1788.268
BB84,16,11,7,43.75,1849.023
BB84,16,12,9,56.25,1953.237
BB84,16,13,8,50.0,1791.109
BB84,16,14,8,50.0,1812.987
BB84,16,15,6,37.5,1792.72
BB84,16,16,4,25.0,1843.399
BB84,16,17,11,68.75,1806.81
BB84,16,18,5,31.25,1773.073
BB84,16,19,8,50.0,1777.756
BB84,16,20,11,68.75,1848.25
BB84,16,21,13,81.25,1775.543
BB84,16,22,8,50.0,1772.138
BB84,16,23,8,50.0,1826.151
BB84,16,24,9,56.25,1759.6
BB84,16,25,8,50.0,1773.116
BB84,16,26,11,68.75,1809.651
BB84,16,27,11,68.75,1768.158
BB84,16,28,11,68.75,1833.208
BB84,16,29,8,50.0,1787.648
BB84,16,30,9,56.25,1773.525
BB84,16,31,7,43.75,1804.524
BB84,16,32,11,68.75,1764.896
BB84,16,33,6,37.5,1790.873
BB84,16,34,7,43.75,1794.278
BB84,16,35,7,43.75,1773.598
BB84,16,36,7,43.75,1769.682
BB84,16,37,6,37.5,1808.998
BB84,16,38,8,50.0,1760.872
BB84,16,39,6,37.5,1786.022
BB84,16,40,6,37.5,1846.654
BB84,16,41,11,68.75,1806.493
BB84,16,42,11,68.75,1820.46
BB84,16,43,9,56.25,1968.727
BB84,16,44,11,68.75,1925.435
BB84,16,45,11,68.75,2453.182
BB84,16,46,5,31.25,1794.245
BB84,16,47,9,56.25,1811.94
BB84,16,48,9,56.25,1838.433
BB84,16,49,7,43.75,1786.481
BB84,32,0,22,68.75,3692.273
BB84,32,1,18,56.25,3708.455
BB84,32,2,20,62.5,3916.806
BB84,32,3,17,53.125,3931.552
BB84,32,4,15,46.875,3836.398
BB84,32,5,11,34.375,3902.205
BB84,32,6,16,50.0,3897.253
BB84,32,7,20,62.5,3728.612
BB84,32,8,17,53.125,3562.698
BB84,32,9,12,37.5,3550.316
BB84,32,10,13,40.625,3615.181
BB84,32,11,14,43.75,3683.519
BB84,32,12,14,43.75,3546.508
BB84,32,13,18,56.25,3603.347
BB84,32,14,18,56.25,3589.098
BB84,32,15,20,62.5,3708.713
BB84,32,16,18,56.25,3564.91
BB84,32,17,19,59.375,3577.757
BB84,32,18,21,65.625,3567.916
BB84,32,19,13,40.625,3561.882
BB84,32,20,15,46.875,3575.595
BB84,32,21,18,56.25,3584.073
BB84,32,22,18,56.25,3549.527
BB84,32,23,11,34.375,3584.827
BB84,32,24,14,43.75,3572.947
BB84,32,25,15,46.875,3507.142
BB84,32,26,21,65.625,3588.431
BB84,32,27,18,56.25,3593.357
BB84,32,28,17,53.125,3942.576
BB84,32,29,19,59.375,3699.785
BB84,32,30,15,46.875,3629.273
BB84,32,31,19,59.375,3542.929
BB84,32,32,14,43.75,3532.164
BB84,32,33,16,50.0,3577.287
BB84,32,34,18,56.25,3588.489
BB84,32,35,17,53.125,3531.779
BB84,32,36,15,46.875,3680.005
BB84,32,37,17,53.125,3602.008
BB84,32,38,21,65.625,3660.354
BB84,32,39,16,50.0,3575.945
BB84,32,40,14,43.75,3644.73
BB84,32,41,17,53.125,4066.329
BB84,32,42,13,40.625,3607.899
BB84,32,43,15,46.875,3581.047
BB84,32,44,13,40.625,3598.533
BB84,32,45,13,40.625,3896.778
BB84,32,46,17,53.125,3557.958
BB84,32,47,22,68.75,3565.179
BB84,32,48,9,28.125,3580.972
BB84,32,49,13,40.625,3533.482
BB84,64,0,33,51.5625,7125.568
BB84,64,1,32,50.0,7154.416
BB84,64,2,36,56.25,7203.428
BB84,64,3,30,46.875,7142.83
BB84,64,4,28,43.75,7298.072
BB84,64,5,30,46.875,7184.279
BB84,64,6,37,57.8125,7212.584
BB84,64,7,32,50.0,9274.813
BB84,64,8,22,34.375,7518.64
BB84,64,9,30,46.875,8038.257
BB84,64,10,42,65.625,7746.009
BB84,64,11,34,53.125,7741.314
BB84,64,12,27,42.1875,7120.793
BB84,64,13,30,46.875,7422.433
BB84,64,14,33,51.5625,7600.375
BB84,64,15,33,51.5625,7137.247
BB84,64,16,23,35.9375,7270.586
BB84,64,17,29,45.3125,7667.062
BB84,64,18,30,46.875,7579.592
BB84,64,19,33,51.5625,8393.609
BB84,64,20,33,51.5625,7112.116
BB84,64,21,25,39.0625,7155.602
BB84,64,22,43,67.1875,7239.184
BB84,64,23,34,53.125,7619.933
BB84,64,24,33,51.5625,7651.656
BB84,64,25,33,51.5625,7168.48
BB84,64,26,32,50.0,7188.125
BB84,64,27,28,43.75,7168.935
BB84,64,28,37,57.8125,7149.57
BB84,64,29,32,50.0,7835.829
BB84,64,30,31,48.4375,8494.713
BB84,64,31,35,54.6875,9156.936
BB84,64,32,36,56.25,8563.211
BB84,64,33,34,53.125,8051.282
BB84,64,34,36,56.25,7862.141
BB84,64,35,31,48.4375,7805.521
BB84,64,36,30,46.875,7846.886
BB84,64,37,26,40.625,7825.206
BB84,64,38,40,62.5,8069.415
BB84,64,39,34,53.125,8037.218
BB84,64,40,31,48.4375,7790.85
BB84,64,41,29,45.3125,7811.645
BB84,64,42,28,43.75,9521.907
BB84,64,43,31,48.4375,7868.537
BB84,64,44,33,51.5625,7751.58
BB84,64,45,37,57.8125,7722.278
BB84,64,46,25,39.0625,7701.947
