protocol,key_bits,seed,keygen_ms,enc_ms,dec_ms
RSA,1024,0,26.316,9.323,0.8
RSA,1024,1,10.544,0.077,0.317
RSA,1024,2,5.161,0.053,0.315
RSA,1024,3,4.972,0.045,0.321
RSA,1024,4,15.616,0.07,0.305
RSA,1024,5,6.345,0.058,0.313
RSA,1024,6,10.294,0.063,0.313
RSA,1024,7,9.057,0.05,0.336
RSA,1024,8,7.638,0.057,0.299
RSA,1024,9,5.978,0.044,0.3
RSA,1024,10,19.205,0.073,0.299
RSA,1024,11,5.535,0.05,0.303
RSA,1024,12,6.054,0.042,0.404
RSA,1024,13,4.961,0.042,0.286
RSA,1024,14,7.453,0.069,0.306
RSA,1024,15,8.196,0.063,0.299
RSA,1024,16,11.3,0.047,0.308
RSA,1024,17,7.714,0.066,0.299
RSA,1024,18,10.98,0.076,0.304
RSA,1024,19,8.157,0.047,0.301
RSA,2048,0,62.988,0.089,1.01
RSA,2048,1,27.985,0.093,1.025
RSA,2048,2,39.083,0.087,1.249
RSA,2048,3,88.763,0.091,1.027
RSA,2048,4,83.026,0.09,1.065
RSA,2048,5,17.825,0.08,1.022
RSA,2048,6,39.916,0.087,1.025
RSA,2048,7,31.132,0.085,1.025
RSA,2048,8,37.876,0.082,1.018
RSA,2048,9,46.025,0.085,1.027
RSA,2048,10,35.157,0.088,1.019
RSA,2048,11,42.863,0.084,1.037
RSA,2048,12,26.179,0.087,1.041
RSA,2048,13,49.752,0.086,1.037
RSA,2048,14,22.866,0.087,1.035
RSA,2048,15,31.381,0.086,1.017
RSA,2048,16,52.15,0.093,1.016
RSA,2048,17,168.121,0.097,1.122
RSA,2048,18,27.834,0.13,1.234
RSA,2048,19,65.898,0.101,1.067
