protocol,n_qubits,seed,key_length,efficiency,time_ms
BB84,8,0,3,37.5,1038.74
BB84,8,1,4,50.0,907.128
BB84,8,2,4,50.0,898.997
BB84,8,3,3,37.5,914.961
BB84,8,4,4,50.0,929.701
BB84,8,5,4,50.0,926.291
BB84,8,6,2,25.0,921.297
BB84,8,7,2,25.0,898.593
BB84,8,8,7,87.5,903.491
BB84,8,9,4,50.0,906.232
BB84,8,10,2,25.0,947.424
BB84,8,11,5,62.5,912.553
BB84,8,12,4,50.0,908.039
BB84,8,13,5,62.5,905.012
BB84,8,14,1,12.5,949.733
BB84,8,15,5,62.5,900.572
BB84,8,16,4,50.0,958.513
BB84,8,17,6,75.0,899.871
BB84,8,18,8,100.0,916.545
BB84,8,19,3,37.5,906.248
BB84,8,20,4,50.0,923.993
BB84,8,21,5,62.5,961.514
BB84,8,22,3,37.5,929.624
BB84,8,23,4,50.0,906.89
BB84,8,24,7,87.5,905.558
BB84,8,25,3,37.5,926.87
BB84,8,26,4,50.0,905.618
BB84,8,27,3,37.5,940.99
BB84,8,28,6,75.0,908.221
BB84,8,29,5,62.5,907.257
BB84,8,30,4,50.0,904.091
BB84,8,31,3,37.5,913.502
BB84,8,32,4,50.0,935.94
BB84,8,33,5,62.5,960.046
BB84,8,34,4,50.0,906.018
BB84,8,35,4,50.0,899.165
BB84,8,36,0,0.0,915.386
BB84,8,37,4,50.0,901.967
BB84,8,38,4,50.0,955.04
BB84,8,39,3,37.5,900.085
BB84,8,40,3,37.5,910.596
BB84,8,41,4,50.0,901.555
BB84,8,42,4,50.0,913.859
BB84,8,43,3,37.5,914.877
BB84,8,44,3,37.5,967.26
BB84,8,45,2,25.0,916.492
BB84,8,46,5,62.5,910.215
BB84,8,47,6,75.0,928.328
BB84,8,48,6,75.0,902.983
BB84,8,49,2,25.0,939.29
BB84,16,0,11,68.75,1881.49
BB84,16,1,6,37.5,1866.361
BB84,16,2,10,62.5,1858.097
BB84,16,3,5,31.25,1858.355
BB84,16,4,10,62.5,1848.047
BB84,16,5,10,62.5,1885.251
BB84,16,6,8,50.0,1837.365
BB84,16,7,7,43.75,1842.449
BB84,16,8,9,56.25,1873.902
BB84,16,9,7,43.75,1841.225
BB84,16,10,9,56.25,1878.234
BB84,16,11,7,43.75,1834.29
BB84,16,12,9,56.25,1804.887
BB84,16,13,8,50.0,1847.927
BB84,16,14,8,50.0,1818.81
BB84,16,15,6,37.5,1825.983
BB84,16,16,4,25.0,1865.831
BB84,16,17,11,68.75,1815.454
BB84,16,18,5,31.25,1812.199
