protocol,key_bits,seed,keygen_ms,enc_ms,dec_ms
RSA,1024,0,13.369,0.1207,0.463
RSA,1024,1,9.284,0.0664,0.2981
RSA,1024,2,12.535,0.067,0.3675
RSA,1024,3,11.956,0.0576,0.2917
RSA,1024,4,12.167,0.0562,0.2824
RSA,1024,5,5.956,0.0493,0.3219
RSA,1024,6,10.199,0.0503,0.277
RSA,1024,7,13.865,0.0722,0.506
RSA,1024,8,14.91,0.0527,0.3241
RSA,1024,9,8.035,0.0508,0.2853
RSA,1024,10,5.785,0.0461,0.2859
RSA,1024,11,15.286,0.0551,0.2813
RSA,1024,12,12.213,0.0618,0.3515
RSA,1024,13,12.047,0.0935,0.5665
RSA,1024,14,15.251,0.0673,0.2799
RSA,1024,15,12.559,0.0615,0.2798
RSA,1024,16,11.349,0.0573,0.3047
RSA,1024,17,6.38,0.0506,0.2729
RSA,1024,18,8.34,0.0536,0.2855
RSA,1024,19,11.974,0.0716,0.3227
RSA,2048,0,145.507,0.1097,1.0856
RSA,2048,1,562.048,0.1237,1.093
RSA,2048,2,105.352,0.1064,1.1022
RSA,2048,3,28.336,0.1375,1.094
RSA,2048,4,79.41,0.1131,1.1036
RSA,2048,5,50.011,0.1265,1.0653
RSA,2048,6,101.959,0.1117,1.0736
RSA,2048,7,48.508,0.1293,1.1194
RSA,2048,8,22.038,0.1091,1.0732
RSA,2048,9,45.962,0.1148,1.0744
RSA,2048,10,22.494,0.1067,1.0611
RSA,2048,11,19.505,0.1238,1.1192
RSA,2048,12,51.675,0.1277,1.1043
RSA,2048,13,76.735,0.1284,1.1789
RSA,2048,14,187.591,0.1301,1.0821
RSA,2048,15,47.141,0.1089,1.0576
RSA,2048,16,25.654,0.1083,1.0858
RSA,2048,17,190.376,0.1106,1.1057
RSA,2048,18,61.832,0.1327,1.0718
RSA,2048,19,47.369,0.1058,1.0696
